 name3,name4,name6,name8,name9
Lazarus,2016,Blackstar,y-JqH1M4Ya8,0
Blackstar,2016,Blackstar,kszLwBaC4Sw,0
The Stars,2013,The Next Day,gH7dMBcg-gE,0
Valentine's Day,2013,The Next Day,S4R8HTIgHUU,0
Where Are We Now?,2013,The Next Day,QWtsV50_-p4,0
New Killer Star,2004,A Reality Tour,XlH6UDnjFNE,0
Thursdays child,1999,Hours...,u4DzdUEiyL8,0
I'm Afraid of Americans,1997,Earthling,u7APmRkatEU,0
Hallo Spaceboy,1995,Outside,4VUN5wScPDw,0
I'm Deranged,1995,Outside,aepBpZ3kXek,0
I Feel Free,1993,Black Tie White Noise,ZLS3HLEEiWw,0
Jump,1993,Black Tie White Noise,avJt0SQec0I,0
Jump They Say,1993,Black Tie White Noise,avJt0SQec0I,0
Miracle Goodnight,1993,Black Tie White Noise,829mlJiRCIU,0
Day-In Day-Out,1987,Never Let Me Down,zl9BLmwFi0U,0
Never Let Me Down,1987,Never Let Me Down,c4ZZMbpUFMY,0
Time Will Crawl,1987,Never Let Me Down,gMhMaNAmT-U,0
Underground,1986,Labyrinth,CwVqOs3Aess,0
Magic Dance,1986,Labyrinth,ViftZTfRSt8,0
Dancing In The Street,1985,David Bowie & Mick Jagger,9G4jnaznUoQ,0
Absolute Beginners,1984,Absolute Beginners,r8NZa9wYZ_U,0
As The World Falls Down,1984,Labyrinth,CvLnPO9t4Wg,0
Blue Jean,1984,Tonight,LTYvjrM6djo,0
Loving The Alien,1984,Tonight,OOaqDEjxQAU,0
China Girl,1983,Let's Dance,VrERLeFseDA,0
Modern Love,1983,Let's Dance,1hDbpF4Mvkw,0
Cat People,1983,Let's Dance,VpdHMaccjw4,0
Ashes To Ashes,1980,Monsters (and Super Creeps),CMThz7eQ6K0,0
Fashion,1980,Scary Monsters (and Super Creeps),GA27aQZCQMk,0
Heroes,1977,Heroes,Tgcc5V9Hu3g,0
Let's Dance,1983,Let's Dance,N4d7Wp9kKjA,0
Life On Mars?,1971,Hunky Dory,v--IqqusnNQ,0
Sound & Vision,1977,Low,GYEOlxcirX0,0
Golden Years,1976,Station to Station,m9OIrJQIn2Q,0
Wild Is The Wind,1976,Station to Station,VbpMpRq6DV4,0
Young Americans,1975,Young Americans,ScVi_L817ec,0
"Rebel, Rebel",1974,Diamond Dogs,Sa6bI_95G9I,0
All the Young Dudes,1974,David Live,pDuLcohz5fU,0
Diamond Dogs,1974,Diamond Dogs,r79wNk47AW8,0
Sorrow,1973,Pin Ups,LxDVc80Z3FI,0
The Jean Genie,1973,Aladdin Sane,CGQo6zpVzt8,0
Five Years,1972,Ziggy Stardust,5-ceR9az3dk,0
"John, I'm Only Dancing",1972,Ziggy Stardust,6VrqCBsbeuc,0
Moonage Daydream,1972,Ziggy Stardust,JFDj3shXvco,0
Soul Love,1972,Ziggy Stardust,1kx9o1idWrE,0
Starman,1972,Ziggy Stardust,tRcPA7Fzebw,0
Suffragette city,1972,Ziggy Stardust,RhfMvh6Em0M,0
Ziggy Stardust,1972,Ziggy Stardust,dLYafk0Lui0,0
Rock & Roll Suicide,1972,Ziggy Stardust,YnoyiVZUxUk,0
Changes,1971,Hunky Dory,ZAKuL8cyiAA,0
Queen Bitch,1971,Hunky Dory,S5P63qGTm_g,0
Oh! You Pretty Things,1971,Hunky Dory,pBQ-S6njQQw,0
The Man Who Sold the World,1970,The Man Who Sold the World,HSH--SJKVQQ,0
Space Oddity,1969,Space Oddity,iYYRH4apXDo,0
I dig everything,1966,I'm Not Losing Sleep,f2u-NCzJsO4,0
